OBJECTID,GPS_Waypoint,Height,Width,Activity,Environment,Direction,Part,Count,Latitude,Longitude,Elevation,Date_Created,Oval_Area_mm2,Lon_DMS,Lat_DMS,Dist_near_burrow,Dist_near_tideline
38,924,62,66.88,3,Dunes,U-L,South Beach,1,N31́ 23.382' ,W81́ 15.908',2,"2018-10-21, 11:22 AM",3250.397317,-81.26513598,31.38969898,3.392789016,101.2652249
39,925,50,36.42,3,Dunes,D-L,South Beach,1,N31́ 23.381' ,W81́ 15.906',2,"2018-10-21, 11:24 AM",1439.935484,-81.26509901,31.38968197,3.89384618,97.27616258
40,926,56,26.38,2,Dunes,U-L,South Beach,1,N31́ 23.379' ,W81́ 15.907',2,"2018-10-21, 11:25 AM",1170.198025,-81.26511603,31.38965003,3.89384618,97.12201615
41,927,16,10.56,1,Beach,D-L,South Beach,1,N31́ 23.368' ,W81́ 15.890',3,"2018-10-21, 11:27 AM",132.5349976,-81.26483096,31.38946999,2.309618746,63.91647534
42,928,41,40.7,1,Beach,D-R,South Beach,1,N31́ 23.367' ,W81́ 15.889',1,"2018-10-21, 11:28 AM",1301.004204,-81.26481696,31.38945297,2.309618746,61.87639476
43,929,51,40.22,0,Beach,U-R,South Beach,1,N31́ 23.366' ,W81́ 15.890',-2,"2018-10-21, 11:28 AM",1602.179581,-81.26482601,31.38943302,2.373562472,61.64594177
44,930,23,15.32,2,Beach,U,South Beach,1,N31́ 23.364' ,W81́ 15.894',1,"2018-10-21, 11:30 AM",274.5770829,-81.264896,31.38940402,2.300545418,66.13457027
45,931,43,30.98,2,Beach,U-L,South Beach,1,N31́ 23.363' ,W81́ 15.894',3,"2018-10-21, 11:31 AM",1037.014288,-81.26490799,31.389386,2.300545418,66.250241
46,932,38,32.52,3,Beach,U,South Beach,1,N31́ 23.364' ,W81́ 15.895',2,"2018-10-21, 11:36 AM",974.6502181,-81.26492299,31.38940796,2.604030706,68.62244906
47,933,18,22,2,Dunes,U-R,South Beach,1,N31́ 23.371' ,W81́ 15.907',4,"2018-10-21, 11:38 AM",315.8557254,-81.26511896,31.38951601,10.41813039,90.66275815
48,934,73,55.68,3,Dunes,U-R,South Beach,1,N31́ 23.376' ,W81́ 15.911',3,"2018-10-21, 11:41 AM",3202.856224,-81.26519096,31.38959404,9.451511123,100.6790159
49,935,45,55.4,2,Dunes,U-L,South Beach,1,N31́ 23.372' ,W81́ 15.916',3,"2018-10-21, 11:42 AM",1969.310496,-81.26527403,31.38952799,4.641752543,104.4233586
50,936,28,26.38,1,Dunes,NA,South Beach,1,N31́ 23.370' ,W81́ 15.918',2,"2018-10-21, 11:44 AM",575.1539866,-81.26530403,31.38949497,2.236632966,105.3167945
51,937,64,58.18,2,Dunes,D-R,South Beach,1,N31́ 23.369' ,W81́ 15.919',1,"2018-10-21, 11:45 AM",2902.512426,-81.26532096,31.38948097,2.236632966,106.0529442
52,938,33,48.98,1,Dunes,U-L,South Beach,1,N31́ 23.367' ,W81́ 15.912',3,"2018-10-21, 11:47 AM",1261.007331,-81.265198,31.38945096,8.086477291,94.11512037
53,939,21,34.91,1,Beach,D-L,South Beach,1,N31́ 23.361' ,W81́ 15.904',1,"2018-10-21, 11:49 AM",581.2668975,-81.265068,31.38935197,0.324867207,78.12723198
54,940,47,36.52,1,Beach,U-L,South Beach,1,N31́ 23.361' ,W81́ 15.904',2,"2018-10-21, 11:50 AM",1361.856539,-81.265068,31.38934904,0.324867207,77.98058034
55,941,50,41.62,1,Beach,U,South Beach,1,N31́ 23.358' ,W81́ 15.899',1,"2018-10-21, 11:51 AM",1629.83722,-81.26497597,31.38929598,0.215031708,67.51412239
56,942,32,31.46,1,Beach,R,South Beach,1,N31́ 23.359' ,W81́ 15.898',0,"2018-10-21, 11:51 AM",778.8158985,-81.26497102,31.38930897,1.515281313,67.74418265
57,943,37,64.16,1,Beach,U,South Beach,1,N31́ 23.358' ,W81́ 15.898',1,"2018-10-21, 11:52 AM",1861.448939,-81.26497404,31.38929497,0.215031708,67.29976833
58,944,40,47.38,1,Beach,U-R,South Beach,1,N31́ 23.354' ,W81́ 15.900',-1,"2018-10-21, 11:56 AM",1490.719329,-81.26500103,31.38923303,6.548534089,66.49023675
59,945,46,50.22,2,Beach,D-R,South Beach,1,N31́ 23.357' ,W81́ 15.908',2,"2018-10-21, 11:58 AM",1807.26432,-81.26513396,31.38927897,7.096673376,80.0715722
60,946,43,52.38,0,Dunes,U-L,South Beach,1,N31́ 23.364' ,W81́ 15.916',2,"2018-10-21, 12:00 PM",1752.939429,-81.26526497,31.38940603,1.140416476,97.55013446
61,947,38,55.96,0,Dunes,R,South Beach,1,N31́ 23.364' ,W81́ 15.917',3,"2018-10-21, 12:01 PM",1676.28661,-81.26527696,31.38940603,1.140416476,98.56774212
62,948,65,54.58,1,Dunes,R,South Beach,1,N31́ 23.363' ,W81́ 15.915',1,"2018-10-21, 12:03 PM",2776.926317,-81.26524402,31.38937804,3.688068392,94.37113531
63,949,51,36.3,3,Dunes,D,South Beach,1,N31́ 23.358' ,W81́ 15.918',1,"2018-10-21, 12:05 PM",1441.46324,-81.26529699,31.38930503,9.534858129,95.21250917
64,950,35,55.66,0,Dunes,D-L,South Beach,1,N31́ 23.354' ,W81́ 15.922',2,"2018-10-21, 12:07 PM",1544.023046,-81.26536799,31.38923496,2.968435646,97.7312766
65,951,36,50.66,2,Dunes,D,South Beach,1,N31́ 23.354' ,W81́ 15.924',2,"2018-10-21, 12:09 PM",1432.377754,-81.265399,31.38923798,2.968435646,100.5142991
66,952,51,42.49,3,Dunes,D,South Beach,1,N31́ 23.350' ,W81́ 15.925',1,"2018-10-21, 12:11 PM",1688.267623,-81.26541099,31.38916497,3.583598122,97.87765313
67,953,55,40.47,2,Dunes,U,South Beach,1,N31́ 23.348' ,W81́ 15.925',1,"2018-10-21, 12:12 PM",1732.603821,-81.26542498,31.38913496,1.053079444,97.56296383
68,954,38,32.34,2,Beach,R,South Beach,1,N31́ 23.343' ,W81́ 15.915',-1,"2018-10-21, 12:13 PM",962.3975355,-81.265256,31.38904301,2.451563123,78.61911174
69,955,38,48.04,2,Beach,U,South Beach,1,N31́ 23.341' ,W81́ 15.915',0,"2018-10-21, 12:14 PM",1423.950118,-81.26524804,31.38902198,2.451563123,76.89094817
70,956,60,46.5,2,Dunes,U-L,South Beach,1,N31́ 23.348' ,W81́ 15.926',2,"2018-10-21, 12:18 PM",2178.113311,-81.26543102,31.389127,1.053079444,97.67717934
71,957,47,55.08,3,Dunes,U-L,South Beach,1,N31́ 23.333' ,W81́ 15.931',0,"2018-10-21, 12:23 PM",2047.050463,-81.26552003,31.38888401,2.136964492,93.06963204
72,958,62,90.26,0,Dunes,U-R,South Beach,1,N31́ 23.334' ,W81́ 15.932',2,"2018-10-21, 12:24 PM",4373.206458,-81.265528,31.38890203,2.136964492,94.64798648
73,959,51,53.01,3,Dunes,R,South Beach,1,N31́ 23.337' ,W81́ 15.931',1,"2018-10-21, 12:26 PM",2115.004997,-81.26552397,31.38894704,5.00523551,96.55876361
74,960,40,60.07,1,Dunes,U-L,South Beach,1,N31́ 23.333' ,W81́ 15.935',1,"2018-10-21, 12:27 PM",1908.385197,-81.26558801,31.38888803,5.915128301,99.04043294
75,961,47,68.41,0,Dunes,U-R,South Beach,1,N31́ 23.333' ,W81́ 15.927',1,"2018-10-21, 12:29 PM",2543.535043,-81.26544502,31.38888904,7.156302939,86.95514826
76,962,56,53.56,1,Beach,U-R,South Beach,1,N31́ 23.332' ,W81́ 15.922',1,"2018-10-21, 12:31 PM",2369.573591,-81.26537302,31.38885903,5.328847285,79.34232784
77,963,5,12.94,3,Beach,U-R,South Beach,1,N31́ 23.329' ,W81́ 15.922',6,"2018-10-21, 1:45 PM",53.76254632,-81.265371,31.388811,5.328847285,76.76691402
78,964,30,25.4,2,Dunes,U-R,South Beach,1,N31́ 23.327' ,W81́ 15.935',6,"2018-10-21, 1:47 PM",601.0667852,-81.26558801,31.38878301,0.734798663,93.78404698
79,965,33,29.18,3,Dunes,U-R,South Beach,1,N31́ 23.328' ,W81́ 15.936',5,"2018-10-21, 1:48 PM",760.4165328,-81.26559304,31.388796,0.882574319,94.86111951
80,966,28,34.12,3,Dunes,U,South Beach,1,N31́ 23.327' ,W81́ 15.936',6,"2018-10-21, 1:49 PM",737.2070746,-81.26559304,31.38878804,0.734798663,94.46271132
81,967,46,54.58,2,Dunes,D,South Beach,1,N31́ 23.326' ,W81́ 15.937',5,"2018-10-21, 1:53 PM",1989.887614,-81.26561701,31.38876096,1.899954301,95.14170627
82,968,35,29.94,1,Dunes,D,South Beach,1,N31́ 23.325' ,W81́ 15.938',6,"2018-10-21, 1:55 PM",815.4939927,-81.26563403,31.38875199,1.899954301,96.13726945
83,969,46,64.71,1,Dunes,U-L,South Beach,1,N31́ 23.306' ,W81́ 15.949',6,"2018-10-21, 2:05 PM",2322.108131,-81.26581198,31.388437,21.69289335,95.47467417
84,970,23,23.08,1,Dunes,U-L,South Beach,1,N31́ 23.289' ,W81́ 15.957',5,"2018-10-21, 2:11 PM",415.8331417,-81.265945,31.38814699,19.92739626,92.67387994
85,971,51,34.64,2,Dunes,U-L,South Beach,1,N31́ 23.276' ,W81́ 15.966',6,"2018-10-21, 2:16 PM",1378.80983,-81.26610802,31.38792998,0.969348276,96.73684882
86,972,36,37.84,1,Dunes,U-L,South Beach,1,N31́ 23.276' ,W81́ 15.966',4,"2018-10-21, 2:17 PM",1056.22984,-81.26609897,31.38792596,0.969348275,95.76860597
87,973,40,38.76,2,Dunes,U-L,South Beach,1,N31́ 23.273' ,W81́ 15.966',4,"2018-10-21, 2:19 PM",1209.766384,-81.266103,31.38788396,4.672547824,94.17562854
88,974,54,63.02,2,Dunes,D-R,South Beach,1,N31́ 23.272' ,W81́ 15.970',4,"2018-10-21, 2:21 PM",2653.469423,-81.26616896,31.38786896,0.363564252,99.18489335
89,975,40,32.8,1,Dunes,D-R,South Beach,1,N31́ 23.272' ,W81́ 15.970',3,"2018-10-21, 2:23 PM",1037.655487,-81.26617198,31.38787097,0.363564252,99.53889912
90,976,56,58.3,2,Dunes,R,South Beach,1,N31́ 23.273' ,W81́ 15.971',4,"2018-10-21, 2:25 PM",2545.852439,-81.26618799,31.38789101,1.804249375,101.8493761
91,977,50,34.79,2,Dunes,D-L,South Beach,1,N31́ 23.273' ,W81́ 15.972',3,"2018-10-21, 2:26 PM",1377.129706,-81.26620199,31.38788003,1.804249375,102.5522215
92,978,31,25.3,0,Dunes,U,South Beach,1,N31́ 23.267' ,W81́ 15.972',5,"2018-10-21, 2:31 PM",611.8149591,-81.266205,31.38778799,0.860361237,98.55803619
93,979,31,28.8,1,Dunes,U-L,South Beach,1,N31́ 23.267' ,W81́ 15.972',4,"2018-10-21, 2:32 PM",695.3224188,-81.26619603,31.38778699,0.860361237,97.73630388
94,980,33,64.62,3,Dunes,D-R,South Beach,1,N31́ 23.251' ,W81́ 15.985',2,"2018-10-21, 2:38 PM",1687.010751,-81.26641296,31.38751198,5.498337758,103.7792836
95,981,25,26.42,1,Dunes,L,South Beach,1,N31́ 23.249' ,W81́ 15.988',3,"2018-10-21, 2:41 PM",508.7953816,-81.26645898,31.38748197,1.799716454,106.3708339
96,982,48,44.93,2,Dunes,U-R,South Beach,1,N31́ 23.249' ,W81́ 15.989',3,"2018-10-21, 2:43 PM",1702.995959,-81.266477,31.38747702,1.799716454,107.6999692
97,983,42,34.8,2,Dunes,U-R,South Beach,1,N31́ 23.249' ,W81́ 15.990',4,"2018-10-21, 2:44 PM",1152.85769,-81.26650197,31.38748499,2.534113408,110.2271805
98,984,41,47.24,3,Dunes,U-L,South Beach,1,N31́ 23.229' ,W81́ 15.998',4,"2018-10-21, 2:54 PM",1538.999639,-81.26663801,31.387157,2.37600359,106.8279498
99,985,25,32.14,3,Dunes,D-L,South Beach,1,N31́ 23.229' ,W81́ 16.000',2,"2018-10-21, 2:57 PM",621.4751994,-81.26666299,31.387157,2.253525154,108.9876347
100,986,65,52,3,Dunes,U-L,South Beach,1,N31́ 23.228' ,W81́ 16.000',3,"2018-10-21, 2:57 PM",2667.714818,-81.26665897,31.38713697,1.98513034,107.7142297
101,987,34,43.26,1,Dunes,D,South Beach,1,N31́ 23.229' ,W81́ 16.001',3,"2018-10-21, 2:59 PM",1144.322611,-81.266679,31.387142,1.98513034,109.6784575
102,988,42,65.6,3,Dunes,D-R,South Beach,1,N31́ 23.226' ,W81́ 15.998',2,"2018-10-21, 3:01 PM",2179.385656,-81.26662896,31.38710797,1.621725181,103.7791956
103,989,66,60.25,0,Dunes,D,South Beach,1,N31́ 23.227' ,W81́ 15.999',2,"2018-10-21, 3:03 PM",3102.788094,-81.26664497,31.387113,1.621725181,105.3958684
104,990,38,44.38,1,Dunes,D,South Beach,1,N31́ 23.207' ,W81́ 16.010',2,"2018-10-21, 3:13 PM",1318.949923,-81.26683096,31.38677504,18.25144594,105.8544165
105,991,34,40.72,1,Dunes,U,South Beach,1,N31́ 23.186' ,W81́ 16.018',2,"2018-10-21, 3:22 PM",1103.358756,-81.26697304,31.38643901,6.218674329,102.6059608
106,992,36,41.06,2,Dunes,U,South Beach,1,N31́ 23.184' ,W81́ 16.022',3,"2018-10-21, 3:39 PM",1174.488498,-81.26702501,31.38640498,6.218674329,105.1837045
107,993,29,30.7,1,Dunes,D,South Beach,1,N31́ 23.180' ,W81́ 16.026',3,"2018-10-21, 3:42 PM",687.4252403,-81.26709701,31.386336,1.70719397,107.4472231
108,994,36,33.28,2,Dunes,D,South Beach,1,N31́ 23.180' ,W81́ 16.027',0,"2018-10-21, 3:44 PM",943.5836367,-81.26711302,31.38632904,1.70719397,108.4024028
109,995,60,52.97,2,Dunes,U,South Beach,1,N31́ 23.179' ,W81́ 16.029',1,"2018-10-21, 3:45 PM",2497.400519,-81.26715199,31.38631999,3.613297059,111.1529996
110,996,46,66.74,2,Dunes,D-R,South Beach,1,N31́ 23.179' ,W81́ 16.031',1,"2018-10-21, 3:47 PM",2386.567565,-81.26718996,31.38632099,3.613297059,114.3624971
111,997,46,35.54,1,Dunes,U,South Beach,1,N31́ 23.171' ,W81́ 16.031',1,"2018-10-21, 3:52 PM",1290.699466,-81.26718703,31.38618001,1.044387073,106.5158039
112,998,32,30.94,2,Dunes,U,South Beach,1,N31́ 23.171' ,W81́ 16.032',0,"2018-10-21, 3:53 PM",784.411075,-81.26719801,31.38618001,1.044387073,107.4283184
113,999,48,42.58,2,Dunes,U,South Beach,1,N31́ 23.172' ,W81́ 16.033',0,"2018-10-21, 3:54 PM",1619.942774,-81.26722299,31.38619401,2.838139897,110.259364
114,1000,34,27,2,Dunes,U-L,South Beach,1,N31́ 23.170' ,W81́ 16.036',2,"2018-10-21, 3:56 PM",713.9976164,-81.26725903,31.38616601,4.624875013,111.7444736
115,1001,35,37.98,1,Dunes,U,South Beach,1,N31́ 23.164' ,W81́ 16.042',1,"2018-10-21, 3:59 PM",1031.799715,-81.26737403,31.38605998,1.144995175,115.5834976
116,1002,36,34.96,3,Dunes,R,South Beach,1,N31́ 23.164' ,W81́ 16.043',1,"2018-10-21, 4:00 PM",998.90457,-81.26738601,31.38605897,1.144995175,116.5246512
117,1003,40,25.7,3,Dunes,U-R,South Beach,1,N31́ 23.165' ,W81́ 16.043',0,"2018-10-21, 4:02 PM",811.0225639,-81.26738601,31.38608797,0.443137099,118.0886446
118,1004,46,56.02,2,Dunes,D-R,South Beach,1,N31́ 23.165' ,W81́ 16.043',0,"2018-10-21, 4:03 PM",2031.827876,-81.26738199,31.38608999,0.443137099,117.8634942
119,1005,47,41.08,3,Dunes,L,South Beach,1,N31́ 23.154' ,W81́ 16.045',0,"2018-10-21, 4:09 PM",1513.834225,-81.26742499,31.38589997,8.944572792,111.1891756
120,1006,54,34.78,0,Dunes,U-L,South Beach,1,N31́ 23.153' ,W81́ 16.052',0,"2018-10-21, 4:10 PM",1471.247738,-81.26753798,31.38587901,7.118619418,119.4490865
121,1007,34,42.78,1,Dunes,U-L,South Beach,1,N31́ 23.150' ,W81́ 16.049',-1,"2018-10-21, 4:12 PM",1145.065283,-81.26748702,31.38583199,7.118619418,112.6781127
122,1008,37,38.38,2,Dunes,D-R,South Beach,1,N31́ 23.145' ,W81́ 16.058',1,"2018-10-21, 4:39 PM",1114.709644,-81.26763001,31.38574901,1.74816082,120.0864833
123,1009,46,43.04,1,Dunes,U,South Beach,1,N31́ 23.145' ,W81́ 16.059',1,"2018-10-21, 4:39 PM",1546.849851,-81.26764703,31.38575496,1.74816082,121.8218605
124,1010,50,66.48,3,Dunes,D-R,South Beach,1,N31́ 23.137' ,W81́ 16.065',1,"2018-10-21, 4:41 PM",2627.371742,-81.267743,31.38562496,6.50942669,122.7867284
125,1011,34,28.46,3,Dunes,D-R,South Beach,1,N31́ 23.134' ,W81́ 16.066',1,"2018-10-21, 4:43 PM",752.8299007,-81.26776697,31.38556997,6.219718498,121.8131833
126,1012,69,74.41,2,Dunes,U-L,South Beach,1,N31́ 23.131' ,W81́ 16.066',1,"2018-10-21, 4:47 PM",4025.448959,-81.26777099,31.38551398,6.219718498,119.1277096
127,1013,28,27.72,1,Dunes,D-R,South Beach,1,N31́ 23.120' ,W81́ 16.072',1,"2018-10-21, 4:50 PM",610.2477756,-81.26786797,31.38533796,6.732509995,117.6946803
128,1014,43,43.93,2,Dunes,R,South Beach,1,N31́ 23.116' ,W81́ 16.073',1,"2018-10-21, 4:54 PM",1483.609277,-81.26788197,31.38526998,0.773686981,115.1920059
129,1015,41,31.51,2,Dunes,D-L,South Beach,1,N31́ 23.116' ,W81́ 16.073',0,"2018-10-21, 4:55 PM",1005.754499,-81.26789002,31.38526898,0.773686981,115.8070954
130,1016,51,71.19,2,Dunes,U-L,South Beach,1,N31́ 23.105' ,W81́ 16.079',1,"2018-10-21, 4:57 PM",2826.93576,-81.26798297,31.38509103,0.491375984,113.9350988
131,1017,37,29.13,1,Dunes,D-L,South Beach,1,N31́ 23.106' ,W81́ 16.079',0,"2018-10-21, 4:58 PM",846.281208,-81.267988,31.38509204,0.491375984,114.4076029
132,1018,34,57.34,1,Dunes,U-L,South Beach,1,N31́ 23.102' ,W81́ 16.081',0,"2018-10-21, 5:03 PM",1514.96834,-81.26801499,31.38503102,7.236359449,113.3598712
133,1019,38,48.18,1,Dunes,U-R,South Beach,1,N31́ 23.102' ,W81́ 16.086',1,"2018-10-21, 5:04 PM",1451.939352,-81.26809303,31.38503797,4.633373554,120.2204608
134,1020,36,62.19,3,Dunes,U-R,South Beach,1,N31́ 23.100' ,W81́ 16.088',1,"2018-10-21, 5:06 PM",1745.681407,-81.26813804,31.38500302,1.494776977,122.0763097
135,1021,22,25.55,0,Dunes,D,South Beach,1,N31́ 23.101' ,W81́ 16.088',1,"2018-10-21, 5:07 PM",443.479,-81.26813703,31.38502004,1.889555093,122.9102612
136,1022,41,47.27,3,Dunes,U-R,South Beach,1,N31́ 23.098' ,W81́ 16.085',0,"2018-10-21, 5:08 PM",1534.779381,-81.26809102,31.38496203,5.638670102,115.9579551
137,1023,34,26.61,2,Dunes,U-L,South Beach,1,N31́ 23.093' ,W81́ 16.089',0,"2018-10-21, 5:12 PM",714.5520289,-81.26814198,31.384884,3.10490874,115.984992
138,1024,34,37.04,2,Dunes,U-L,South Beach,1,N31́ 23.095' ,W81́ 16.088',0,"2018-10-21, 5:13 PM",979.7898637,-81.26813997,31.38491501,0.348093753,117.4903175
139,1025,32,37.04,1,Dunes,NA,South Beach,1,N31́ 23.095' ,W81́ 16.088',0,"2018-10-21, 5:14 PM",932.3712925,-81.26814097,31.38491199,0.348093753,117.410557
140,1026,40,28.28,2,Dunes,U,South Beach,1,N31́ 23.095' ,W81́ 16.089',0,"2018-10-21, 5:16 PM",888.2202918,-81.26814499,31.38491803,0.583200695,118.070391
141,1027,45,51.59,3,Dunes,U-R,South Beach,1,N31́ 23.097' ,W81́ 16.091',0,"2018-10-21, 5:17 PM",1805.107695,-81.26817802,31.384942,2.552399682,122.1081689
142,1028,56,61.56,2,Dunes,D-R,South Beach,1,N31́ 23.097' ,W81́ 16.092',0,"2018-10-21, 5:19 PM",2731.724768,-81.26820803,31.38495801,3.361439081,125.4656748
143,1029,41,51.2,3,Dunes,U-L,South Beach,1,N31́ 23.100' ,W81́ 16.091',0,"2018-10-21, 5:20 PM",1665.597027,-81.26818699,31.38499204,1.056860841,125.5523139
