GPS Waypoint,Height,Width ,Activity,Environment,Direction compared to tide,Part,Count,Elevation,Date Created,Oval Area_mm2,Longitude,Latitude
930,22.82,15.32,2,Beach,up,South Beach,1,1 m,"2018-10-21, 11:30 AM",274.5770829,-81.264896,31.38940402
931,42.62,30.98,2,Beach,up left,South Beach,1,3 m,"2018-10-21, 11:31 AM",1037.014288,-81.26490799,31.389386
932,38.16,32.52,3,Beach,up,South Beach,1,2 m,"2018-10-21, 11:36 AM",974.6502181,-81.26492299,31.38940796
933,18.28,22,2,Dunes,up right,South Beach,1,4 m,"2018-10-21, 11:38 AM",315.8557254,-81.26511896,31.38951601
934,73.24,55.68,3,Dunes,up right,South Beach,1,3 m,"2018-10-21, 11:41 AM",3202.856224,-81.26519096,31.38959404
935,45.26,55.4,2,Dunes,up left,South Beach,1,3 m,"2018-10-21, 11:42 AM",1969.310496,-81.26527403,31.38952799
936,27.76,26.38,1,Dunes,,South Beach,1,2 m,"2018-10-21, 11:44 AM",575.1539866,-81.26530403,31.38949497
937,63.52,58.18,2,Dunes,down right,South Beach,1,1 m,"2018-10-21, 11:45 AM",2902.512426,-81.26532096,31.38948097
938,32.78,48.98,1,Dunes,up left,South Beach,1,3 m,"2018-10-21, 11:47 AM",1261.007331,-81.265198,31.38945096
939,21.2,34.91,1,Beach,down left,South Beach,1,1 m,"2018-10-21, 11:49 AM",581.2668975,-81.265068,31.38935197
940,47.48,36.52,1,Beach,up left,South Beach,1,2 m,"2018-10-21, 11:50 AM",1361.856539,-81.265068,31.38934904
941,49.86,41.62,1,Beach,up,South Beach,1,1 m,"2018-10-21, 11:51 AM",1629.83722,-81.26497597,31.38929598
942,31.52,31.46,1,Beach,right,South Beach,1,-0 m,"2018-10-21, 11:51 AM",778.8158985,-81.26497102,31.38930897
943,36.94,64.16,1,Beach,up,South Beach,1,1 m,"2018-10-21, 11:52 AM",1861.448939,-81.26497404,31.38929497
944,40.06,47.38,1,Beach,up right,South Beach,1,-1 m,"2018-10-21, 11:56 AM",1490.719329,-81.26500103,31.38923303
945,45.82,50.22,2,Beach,down right,South Beach,1,2 m,"2018-10-21, 11:58 AM",1807.26432,-81.26513396,31.38927897
946,42.61,52.38,0,Dunes,up left,South Beach,1,2 m,"2018-10-21, 12:00 PM",1752.939429,-81.26526497,31.38940603
947,38.14,55.96,0,Dunes,,South Beach,1,3 m,"2018-10-21, 12:01 PM",1676.28661,-81.26527696,31.38940603
948,64.78,54.58,1,Dunes,,South Beach,1,1 m,"2018-10-21, 12:03 PM",2776.926317,-81.26524402,31.38937804
949,50.56,36.3,3,Dunes,,South Beach,1,1 m,"2018-10-21, 12:05 PM",1441.46324,-81.26529699,31.38930503
950,35.32,55.66,0,Dunes,,South Beach,1,2 m,"2018-10-21, 12:07 PM",1544.023046,-81.26536799,31.38923496
951,36,50.66,2,Dunes,,South Beach,1,2 m,"2018-10-21, 12:09 PM",1432.377754,-81.265399,31.38923798
952,50.59,42.49,3,Dunes,,South Beach,1,1 m,"2018-10-21, 12:11 PM",1688.267623,-81.26541099,31.38916497
953,54.51,40.47,2,Dunes,,South Beach,1,1 m,"2018-10-21, 12:12 PM",1732.603821,-81.26542498,31.38913496
954,37.89,32.34,2,Beach,,South Beach,1,-1 m,"2018-10-21, 12:13 PM",962.3975355,-81.265256,31.38904301
955,37.74,48.04,2,Beach,,South Beach,1,0 m,"2018-10-21, 12:14 PM",1423.950118,-81.26524804,31.38902198
956,59.64,46.5,2,Dunes,,South Beach,1,2 m,"2018-10-21, 12:18 PM",2178.113311,-81.26543102,31.389127
957,47.32,55.08,3,Dunes,,South Beach,1,-0 m,"2018-10-21, 12:23 PM",2047.050463,-81.26552003,31.38888401
958,61.69,90.26,0,Dunes,,South Beach,1,2 m,"2018-10-21, 12:24 PM",4373.206458,-81.265528,31.38890203
959,50.8,53.01,3,Dunes,,South Beach,1,1 m,"2018-10-21, 12:26 PM",2115.004997,-81.26552397,31.38894704
960,40.45,60.07,1,Dunes,,South Beach,1,1 m,"2018-10-21, 12:27 PM",1908.385197,-81.26558801,31.38888803
961,47.34,68.41,0,Dunes,,South Beach,1,1 m,"2018-10-21, 12:29 PM",2543.535043,-81.26544502,31.38888904
962,56.33,53.56,1,Beach,,South Beach,1,1 m,"2018-10-21, 12:31 PM",2369.573591,-81.26537302,31.38885903
963,5.29,12.94,3,Beach,,South Beach,1,6 m,"2018-10-21, 1:45 PM",53.76254632,-81.265371,31.388811
964,30.13,25.4,2,Dunes,,South Beach,1,6 m,"2018-10-21, 1:47 PM",601.0667852,-81.26558801,31.38878301
965,33.18,29.18,3,Dunes,,South Beach,1,5 m,"2018-10-21, 1:48 PM",760.4165328,-81.26559304,31.388796
966,27.51,34.12,3,Dunes,,South Beach,1,6 m,"2018-10-21, 1:49 PM",737.2070746,-81.26559304,31.38878804
967,46.42,54.58,2,Dunes,,South Beach,1,5 m,"2018-10-21, 1:53 PM",1989.887614,-81.26561701,31.38876096
968,34.68,29.94,1,Dunes,,South Beach,1,6 m,"2018-10-21, 1:55 PM",815.4939927,-81.26563403,31.38875199
969,45.69,64.71,1,Dunes,,South Beach,1,6 m,"2018-10-21, 2:05 PM",2322.108131,-81.26581198,31.388437
970,22.94,23.08,1,Dunes,,South Beach,1,5 m,"2018-10-21, 2:11 PM",415.8331417,-81.265945,31.38814699
971,50.68,34.64,2,Dunes,,South Beach,1,6 m,"2018-10-21, 2:16 PM",1378.80983,-81.26610802,31.38792998
972,35.54,37.84,1,Dunes,,South Beach,1,4 m,"2018-10-21, 2:17 PM",1056.22984,-81.26609897,31.38792596
973,39.74,38.76,2,Dunes,,South Beach,1,4 m,"2018-10-21, 2:19 PM",1209.766384,-81.266103,31.38788396
974,53.61,63.02,2,Dunes,,South Beach,1,4 m,"2018-10-21, 2:21 PM",2653.469423,-81.26616896,31.38786896
975,40.28,32.8,1,Dunes,,South Beach,1,3 m,"2018-10-21, 2:23 PM",1037.655487,-81.26617198,31.38787097
976,55.6,58.3,2,Dunes,,South Beach,1,4 m,"2018-10-21, 2:25 PM",2545.852439,-81.26618799,31.38789101
977,50.4,34.79,2,Dunes,,South Beach,1,3 m,"2018-10-21, 2:26 PM",1377.129706,-81.26620199,31.38788003
978,30.79,25.3,0,Dunes,,South Beach,1,5 m,"2018-10-21, 2:31 PM",611.8149591,-81.266205,31.38778799
979,30.74,28.8,1,Dunes,,South Beach,1,4 m,"2018-10-21, 2:32 PM",695.3224188,-81.26619603,31.38778699
980,33.24,64.62,3,Dunes,,South Beach,1,2 m,"2018-10-21, 2:38 PM",1687.010751,-81.26641296,31.38751198
981,24.52,26.42,1,Dunes,,South Beach,1,3 m,"2018-10-21, 2:41 PM",508.7953816,-81.26645898,31.38748197
982,48.26,44.93,2,Dunes,,South Beach,1,3 m,"2018-10-21, 2:43 PM",1702.995959,-81.266477,31.38747702
983,42.18,34.8,2,Dunes,,South Beach,1,4 m,"2018-10-21, 2:44 PM",1152.85769,-81.26650197,31.38748499
984,41.48,47.24,3,Dunes,,South Beach,1,4 m,"2018-10-21, 2:54 PM",1538.999639,-81.26663801,31.387157
985,24.62,32.14,3,Dunes,,South Beach,1,2 m,"2018-10-21, 2:57 PM",621.4751994,-81.26666299,31.387157
986,65.32,52,3,Dunes,,South Beach,1,3 m,"2018-10-21, 2:57 PM",2667.714818,-81.26665897,31.38713697
987,33.68,43.26,1,Dunes,,South Beach,1,3 m,"2018-10-21, 2:59 PM",1144.322611,-81.266679,31.387142
988,42.3,65.6,3,Dunes,,South Beach,1,2 m,"2018-10-21, 3:01 PM",2179.385656,-81.26662896,31.38710797
989,65.57,60.25,0,Dunes,,South Beach,1,2 m,"2018-10-21, 3:03 PM",3102.788094,-81.26664497,31.387113
990,37.84,44.38,1,Dunes,,South Beach,1,2 m,"2018-10-21, 3:13 PM",1318.949923,-81.26683096,31.38677504
991,34.5,40.72,1,Dunes,,South Beach,1,2 m,"2018-10-21, 3:22 PM",1103.358756,-81.26697304,31.38643901
992,36.42,41.06,2,Dunes,,South Beach,1,3 m,"2018-10-21, 3:39 PM",1174.488498,-81.26702501,31.38640498
993,28.51,30.7,1,Dunes,,South Beach,1,3 m,"2018-10-21, 3:42 PM",687.4252403,-81.26709701,31.386336
994,36.1,33.28,2,Dunes,,South Beach,1,-0 m,"2018-10-21, 3:44 PM",943.5836367,-81.26711302,31.38632904
995,60.03,52.97,2,Dunes,,South Beach,1,1 m,"2018-10-21, 3:45 PM",2497.400519,-81.26715199,31.38631999
996,45.53,66.74,2,Dunes,,South Beach,1,1 m,"2018-10-21, 3:47 PM",2386.567565,-81.26718996,31.38632099
997,46.24,35.54,1,Dunes,,South Beach,1,1 m,"2018-10-21, 3:52 PM",1290.699466,-81.26718703,31.38618001
998,32.28,30.94,2,Dunes,,South Beach,1,0 m,"2018-10-21, 3:53 PM",784.411075,-81.26719801,31.38618001
999,48.44,42.58,2,Dunes,,South Beach,1,0 m,"2018-10-21, 3:54 PM",1619.942774,-81.26722299,31.38619401
1000,33.67,27,2,Dunes,,South Beach,1,2 m,"2018-10-21, 3:56 PM",713.9976164,-81.26725903,31.38616601
1001,34.59,37.98,1,Dunes,,South Beach,1,1 m,"2018-10-21, 3:59 PM",1031.799715,-81.26737403,31.38605998
1002,36.38,34.96,3,Dunes,,South Beach,1,1 m,"2018-10-21, 4:00 PM",998.90457,-81.26738601,31.38605897
1003,40.18,25.7,3,Dunes,,South Beach,1,0 m,"2018-10-21, 4:02 PM",811.0225639,-81.26738601,31.38608797
1004,46.18,56.02,2,Dunes,,South Beach,1,0 m,"2018-10-21, 4:03 PM",2031.827876,-81.26738199,31.38608999
1005,46.92,41.08,3,Dunes,,South Beach,1,0 m,"2018-10-21, 4:09 PM",1513.834225,-81.26742499,31.38589997
1006,53.86,34.78,0,Dunes,,South Beach,1,-0 m,"2018-10-21, 4:10 PM",1471.247738,-81.26753798,31.38587901
1007,34.08,42.78,1,Dunes,,South Beach,1,-1 m,"2018-10-21, 4:12 PM",1145.065283,-81.26748702,31.38583199
1008,36.98,38.38,2,Dunes,,South Beach,1,1 m,"2018-10-21, 4:39 PM",1114.709644,-81.26763001,31.38574901
1009,45.76,43.04,1,Dunes,,South Beach,1,1 m,"2018-10-21, 4:39 PM",1546.849851,-81.26764703,31.38575496
1010,50.32,66.48,3,Dunes,,South Beach,1,1 m,"2018-10-21, 4:41 PM",2627.371742,-81.267743,31.38562496
1011,33.68,28.46,3,Dunes,,South Beach,1,1 m,"2018-10-21, 4:43 PM",752.8299007,-81.26776697,31.38556997
1012,68.88,74.41,2,Dunes,,South Beach,1,1 m,"2018-10-21, 4:47 PM",4025.448959,-81.26777099,31.38551398
1013,28.03,27.72,1,Dunes,,South Beach,1,1 m,"2018-10-21, 4:50 PM",610.2477756,-81.26786797,31.38533796
1014,43,43.93,2,Dunes,,South Beach,1,1 m,"2018-10-21, 4:54 PM",1483.609277,-81.26788197,31.38526998
1015,40.64,31.51,2,Dunes,,South Beach,1,0 m,"2018-10-21, 4:55 PM",1005.754499,-81.26789002,31.38526898
1016,50.56,71.19,2,Dunes,,South Beach,1,1 m,"2018-10-21, 4:57 PM",2826.93576,-81.26798297,31.38509103
1017,36.99,29.13,1,Dunes,,South Beach,1,0 m,"2018-10-21, 4:58 PM",846.281208,-81.267988,31.38509204
1018,33.64,57.34,1,Dunes,,South Beach,1,0 m,"2018-10-21, 5:03 PM",1514.96834,-81.26801499,31.38503102
1019,38.37,48.18,1,Dunes,,South Beach,1,1 m,"2018-10-21, 5:04 PM",1451.939352,-81.26809303,31.38503797
1020,35.74,62.19,3,Dunes,,South Beach,1,1 m,"2018-10-21, 5:06 PM",1745.681407,-81.26813804,31.38500302
1021,22.1,25.55,0,Dunes,,South Beach,1,1 m,"2018-10-21, 5:07 PM",443.479,-81.26813703,31.38502004
1022,41.34,47.27,3,Dunes,,South Beach,1,-0 m,"2018-10-21, 5:08 PM",1534.779381,-81.26809102,31.38496203
1023,34.19,26.61,2,Dunes,,South Beach,1,0 m,"2018-10-21, 5:12 PM",714.5520289,-81.26814198,31.384884
1024,33.68,37.04,2,Dunes,,South Beach,1,-0 m,"2018-10-21, 5:13 PM",979.7898637,-81.26813997,31.38491501
1025,32.05,37.04,1,Dunes,,South Beach,1,-0 m,"2018-10-21, 5:14 PM",932.3712925,-81.26814097,31.38491199
1026,39.99,28.28,2,Dunes,,South Beach,1,0 m,"2018-10-21, 5:16 PM",888.2202918,-81.26814499,31.38491803
1027,44.55,51.59,3,Dunes,,South Beach,1,0 m,"2018-10-21, 5:17 PM",1805.107695,-81.26817802,31.384942
1028,56.5,61.56,2,Dunes,,South Beach,1,-0 m,"2018-10-21, 5:19 PM",2731.724768,-81.26820803,31.38495801
1029,41.42,51.2,3,Dunes,,South Beach,1,-0 m,"2018-10-21, 5:20 PM",1665.597027,-81.26818699,31.38499204
1030,45.42,42.94,1,Dunes,,South Beach,1,-0 m,"2018-10-21, 5:22 PM",1531.78937,-81.26817601,31.38498601
1031,45.88,31.11,0,Dunes,,South Beach,1,-1 m,"2018-10-21, 5:23 PM",1121.019847,-81.26818104,31.38498399
1032,29.81,52.66,3,Dunes,,South Beach,1,-0 m,"2018-10-21, 5:24 PM",1232.913796,-81.26815799,31.38500101
1033,49.8,31.09,1,Dunes,,South Beach,1,-0 m,"2018-10-21, 5:25 PM",1216.017839,-81.26815304,31.384999
1034,34.84,35.21,3,Dunes,,South Beach,1,-0 m,"2018-10-21, 5:27 PM",963.4608076,-81.26814801,31.38497603
1035,47.08,48.65,1,Dunes,,South Beach,1,-1 m,"2018-10-21, 5:28 PM",1798.90894,-81.26815598,31.38496698
1036,31.3,33.61,1,Dunes,,South Beach,1,0 m,"2018-10-21, 5:30 PM",826.2333701,-81.26816897,31.38496899
1037,43.95,43.81,1,Dunes,,South Beach,1,-0 m,"2018-10-21, 5:31 PM",1512.244501,-81.26816997,31.38496396
1038,35.42,34.32,3,Beach,,South Beach,1,-2 m,"2018-10-22, 9:45 AM",954.7413172,-81.26510002,31.38922197
1039,18.68,14.68,3,Beach,,South Beach,1,-0 m,"2018-10-22, 9:47 AM",215.3737693,-81.26506699,31.38924996
1040,12.58,14.68,3,Beach,,South Beach,1,-0 m,"2018-10-22, 9:48 AM",145.0429346,-81.26513497,31.389113
1041,13.68,16.72,3,Beach,,South Beach,1,-1 m,"2018-10-22, 9:49 AM",179.6438078,-81.26522298,31.38898099
1042,22.44,23,3,Beach,,South Beach,1,-1 m,"2018-10-22, 9:51 AM",405.3597001,-81.26525098,31.388954
1043,20.01,22.13,3,Beach,,South Beach,1,-0 m,"2018-10-22, 9:52 AM",347.7910357,-81.26552599,31.38862199
1044,12.96,16.44,2,Beach,,South Beach,1,-0 m,"2018-10-22, 9:53 AM",167.3388176,-81.26553303,31.38862601
1045,15.73,21.12,3,Beach,,South Beach,1,-1 m,"2018-10-22, 9:54 AM",260.9230929,-81.26553898,31.38862501
1046,42.7,42.38,3,Beach,,South Beach,1,-0 m,"2018-10-22, 9:55 AM",1421.276937,-81.26553797,31.38858897
1047,22.18,20.86,3,Beach,,South Beach,1,-0 m,"2018-10-22, 9:57 AM",363.3839382,-81.26558499,31.38841798
1048,18.69,16.98,3,Beach,,South Beach,1,0 m,"2018-10-22, 9:58 AM",249.2509766,-81.265686,31.38819602
1049,14.89,10.58,3,Beach,,South Beach,1,1 m,"2018-10-22, 9:59 AM",123.7286421,-81.26573604,31.38815998
1050,12.53,12.06,3,Beach,,South Beach,1,0 m,"2018-10-22, 10:00 AM",118.6829302,-81.265945,31.38794398
1051,31.12,25.96,3,Beach,,South Beach,1,0 m,"2018-10-22, 10:01 AM",634.5036983,-81.26594198,31.38789503
1052,32.76,32.78,3,Beach,,South Beach,1,0 m,"2018-10-22, 10:03 AM",843.4177248,-81.26603401,31.38782001
1053,12.4,12.69,3,Beach,,South Beach,1,1 m,"2018-10-22, 10:03 AM",123.5871134,-81.26605497,31.387818
1054,10.69,7.6,3,Beach,,South Beach,1,1 m,"2018-10-22, 10:05 AM",63.80888839,-81.26606301,31.38778003
1055,32.79,27.3,3,Beach,,South Beach,1,1 m,"2018-10-22, 10:06 AM",703.0625177,-81.26610501,31.38780098
1056,9.51,9.23,3,Beach,,South Beach,1,0 m,"2018-10-22, 10:06 AM",68.94013021,-81.26612504,31.38778003
1057,28.45,26.79,3,Beach,,South Beach,1,0 m,"2018-10-22, 10:08 AM",598.6112379,-81.26611196,31.387732
1058,18.61,29.59,3,Beach,,South Beach,1,1 m,"2018-10-22, 10:10 AM",432.4951281,-81.26628396,31.387444
1059,29.9,36.43,3,Beach,,South Beach,1,-0 m,"2018-10-22, 10:11 AM",855.5004473,-81.26631699,31.38744903
1060,36.56,35.58,3,Beach,,South Beach,1,1 m,"2018-10-22, 10:13 AM",1021.649701,-81.26633098,31.38742204
1061,27.28,30.96,3,Beach,,South Beach,1,0 m,"2018-10-22, 10:14 AM",663.3384923,-81.26638102,31.38733897
1062,52.8,39.34,3,Beach,,South Beach,1,2 m,"2018-10-22, 10:15 AM",1631.391366,-81.26645604,31.38718097
1063,11.26,11.28,3,Beach,,South Beach,1,2 m,"2018-10-22, 10:17 AM",99.75561985,-81.26648999,31.38717502
1064,12.24,12.36,2,Beach,,South Beach,1,2 m,"2018-10-22, 10:18 AM",118.8200607,-81.26651497,31.38709598
1065,19.54,18.38,2,Beach,,South Beach,1,3 m,"2018-10-22, 10:19 AM",282.0719805,-81.266506,31.38705701
1066,22.28,20.87,3,Beach,,South Beach,1,3 m,"2018-10-22, 10:20 AM",365.1972654,-81.266449,31.38702499
1067,16.14,16.4,3,Beach,,South Beach,1,2 m,"2018-10-22, 10:22 AM",207.8917523,-81.26647901,31.38696497
1068,27.44,24.7,2,Beach,,South Beach,1,2 m,"2018-10-22, 10:23 AM",532.3177424,-81.26651103,31.38693304
1069,34.84,31.74,3,Beach,,South Beach,1,2 m,"2018-10-22, 10:23 AM",868.5102537,-81.26655696,31.38693698
1070,34.79,42.35,3,Beach,,South Beach,1,3 m,"2018-10-22, 10:25 AM",1157.171489,-81.26663701,31.38692097
1071,37.28,45.82,3,Beach,,South Beach,1,2 m,"2018-10-22, 10:26 AM",1341.593267,-81.26662896,31.38687202
1072,15.38,18.93,3,Beach,,South Beach,1,3 m,"2018-10-22, 10:27 AM",228.6634916,-81.26659099,31.38687403
1073,16.32,20.72,1,Beach,,South Beach,1,3 m,"2018-10-22, 10:28 AM",265.5827031,-81.26656702,31.38687504
1074,31.3,27.51,2,Beach,,South Beach,1,3 m,"2018-10-22, 10:30 AM",676.2772988,-81.26667598,31.38667798
1075,7.82,10.58,1,Beach,,South Beach,1,2 m,"2018-10-22, 10:31 AM",64.98038829,-81.26676399,31.38651101
1076,14.2,14.79,1,Beach,,South Beach,1,3 m,"2018-10-22, 10:33 AM",164.9477515,-81.266722,31.38647002
1077,16.91,15.84,3,Beach,,South Beach,1,2 m,"2018-10-22, 10:34 AM",210.3723538,-81.26675997,31.38644898
1078,29.64,25.19,3,Beach,,South Beach,1,3 m,"2018-10-22, 10:36 AM",586.4030874,-81.26716398,31.38608001
1079,38.62,33.68,3,Beach,,South Beach,1,2 m,"2018-10-22, 10:37 AM",1021.584356,-81.26720899,31.38603902
1080,14.82,16.08,3,Beach,,South Beach,1,3 m,"2018-10-22, 10:39 AM",187.1647806,-81.26728602,31.38582403
1081,22.03,20.18,3,Beach,,South Beach,1,3 m,"2018-10-22, 10:40 AM",349.1608487,-81.26728904,31.38581104
1082,17.08,16.37,3,Beach,,South Beach,1,2 m,"2018-10-22, 10:41 AM",219.5970123,-81.26736204,31.38584004
1083,26.19,34.98,2,Beach,,South Beach,1,3 m,"2018-10-22, 10:43 AM",719.5238349,-81.26747402,31.38565304
1084,38.38,41.25,3,Dunes,,South Beach,1,3 m,"2018-10-22, 10:45 AM",1243.422737,-81.26757897,31.385603
1085,53.81,43.34,3,Dunes,,South Beach,1,4 m,"2018-10-22, 10:47 AM",1831.647006,-81.26762196,31.38555497
1086,23.82,24.68,2,Dunes,,South Beach,1,3 m,"2018-10-22, 10:49 AM",461.7179873,-81.26767804,31.38546403
1087,27.29,27.08,2,Beach,,South Beach,1,4 m,"2018-10-22, 10:50 AM",580.41961,-81.26764803,31.38543704
1088,25.28,34.92,3,Beach,,South Beach,1,4 m,"2018-10-22, 10:51 AM",693.3319057,-81.26758802,31.38533503
1090,32.18,32.48,3,Dunes,,South Beach,1,3 m,"2018-10-22, 10:56 AM",820.9031869,-81.26779798,31.38534701
1091,37.04,27.96,1,Dunes,,South Beach,1,3 m,"2018-10-22, 10:57 AM",813.3884973,-81.26780704,31.38529404
1092,41.54,61.26,1,Beach,,South Beach,1,4 m,"2018-10-22, 11:00 AM",1998.634436,-81.26789496,31.38498299
1093,27.54,21,1,Beach,,South Beach,1,3 m,"2018-10-22, 11:01 AM",454.2271738,-81.26792698,31.38496304
1094,6.45,13.03,3,Beach,,South Beach,1,3 m,"2018-10-22, 11:04 AM",66.00761055,-81.268074,31.38471896
1095,26.68,25.69,0,Beach,,South Beach,1,3 m,"2018-10-22, 11:06 AM",538.3191269,-81.26802002,31.38468199
1096,10.59,10.1,3,Beach,,South Beach,1,4 m,"2018-10-22, 11:07 AM",84.00540216,-81.26794601,31.38463799
1097,14.79,9.18,3,Beach,,South Beach,1,5 m,"2018-10-22, 11:09 AM",106.6352365,-81.26813401,31.38464704
1098,10.18,11.74,2,Beach,,South Beach,1,3 m,"2018-10-22, 11:10 AM",93.86544778,-81.26813896,31.38467596
1099,39.19,54.29,3,Beach,,South Beach,1,3 m,"2018-10-22, 11:11 AM",1671.032846,-81.26813703,31.38471703
1101,40.82,32.46,3,Dunes,,South Beach,1,4 m,"2018-10-22, 11:15 AM",1040.666075,-81.26825304,31.38480202
1102,37.4,46.51,2,Dunes,,South Beach,1,4 m,"2018-10-22, 11:16 AM",1366.179685,-81.268217,31.38478803
1103,19.94,14.2,3,Dunes,,South Beach,1,5 m,"2018-10-22, 11:18 AM",222.3839192,-81.26828497,31.38470798
